esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ./resources/myresources/./FourWaySignal.xosc
Number of Vehicles: 1
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , 
48, 2.400000, Sedan, 0, 17.881599, -0.011535, 3.236161, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -36.537120, -1.614976, 0.000000, 17.849732, 1.064360, 0.000000, 0.082490, -1.392075, 0.000000, 81.542530, -1.751405, -1, -0.001405, 0.057879, -0.065656, 0.000350, 0.000350, 0.000000, -0.004035, , 
49, 2.450000, Sedan, 0, 17.881599, -0.010071, 5.790675, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -35.644388, -1.565901, 0.000000, 17.854642, 0.981512, 0.000000, 0.098186, -1.656963, 0.000000, 82.442974, -1.752116, -1, -0.002116, 0.055013, -0.057324, 0.001117, 0.001117, 0.000000, -0.004035, , 
50, 2.500000, Sedan, 0, 17.881599, -0.010538, 2.062004, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -34.751615, -1.517631, 0.000000, 17.855458, 0.965403, 0.000000, 0.016332, -0.322184, 0.000000, 83.343412, -1.750385, -1, -0.000385, 0.052013, -0.059983, 0.001750, 0.001750, 0.000000, -0.004035, , 
51, 2.550000, Sedan, 0, 17.881599, 0.014414, 4.616518, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -33.858557, -1.474995, 0.000000, 17.861167, 0.852706, 0.000000, 0.114180, -2.253932, 0.000000, 84.226853, -1.751729, -2, -0.001130, 0.056116, 0.082042, 6.282374, 0.009417, 0.000000, -0.004035, , 
52, 2.600000, Sedan, 0, 17.881599, 0.039414, 0.887847, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -32.967674, -1.400979, 0.000000, 17.817663, 1.480331, 0.000000, -0.870087, 12.552510, 0.000000, 85.012864, -1.756393, -2, 0.028155, 0.110012, 1.077936, 6.274834, 0.066485, 0.000000, -0.004035, , 
53, 2.650000, Sedan, 0, 17.881599, 0.064414, 3.442361, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -32.081799, -1.280828, 0.000000, 17.717500, 2.403009, 0.000000, -2.003262, 18.453546, 0.000000, 85.808813, -1.766426, -2, 0.101509, 0.158649, 0.972729, 6.268955, 0.118332, 0.000000, -0.004035, , 
54, 2.700000, Sedan, 0, 17.881599, 0.089414, 5.996876, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -31.202320, -1.120294, 0.000000, 17.589563, 3.210687, 0.000000, -2.558730, 16.153563, 0.000000, 86.608411, -1.780795, -2, 0.214776, 0.200536, 0.837736, 6.264001, 0.163445, 0.000000, -0.004035, , 
55, 2.750000, Sedan, 0, 17.881599, 0.114414, 2.268204, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -30.329602, -0.926267, 0.000000, 17.454371, 3.880540, 0.000000, -2.703846, 13.397064, 0.000000, 87.412967, -1.799396, -2, 0.363076, 0.235740, 0.704082, 6.259990, 0.201895, 0.000000, -0.004035, , 
56, 2.800000, Sedan, 0, 17.881599, 0.100523, 4.822719, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -29.463449, -0.704681, 0.000000, 17.323049, 4.431727, 0.000000, -2.626450, 11.023747, 0.000000, 88.226487, -1.821208, -2, 0.543203, 0.264348, 0.572167, 6.256783, 0.233786, 0.000000, -0.004035, , 
57, 2.850000, Sedan, 0, 17.881599, 0.076208, 1.094048, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -28.603299, -0.460780, 0.000000, 17.203014, 4.878024, 0.000000, -2.400683, 8.925936, 0.000000, 89.039565, -1.844711, -2, 0.748734, 0.286036, 0.433765, 6.254253, 0.258754, 0.000000, -0.004035, , 
