Version: 2, OpenDRIVE: ./FourWaySignal.xodr, 3DModel: ./FourWaySignal.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
7.000, 0, Sedan, 14.113, 35.317, 0.000, 1.649, 0.000, 0.000, 17.882, 0.006, 5.774
7.050, 0, Sedan, 14.043, 36.208, 0.000, 1.649, 0.000, 0.000, 17.882, 0.000, 2.045
7.100, 0, Sedan, 13.965, 37.099, 0.000, 1.653, 0.000, 0.000, 17.882, 0.012, 4.599
7.150, 0, Sedan, 13.884, 37.989, 0.000, 1.657, 0.000, 0.000, 17.882, 0.012, 0.871
7.200, 0, Sedan, 13.799, 38.879, 0.000, 1.660, 0.000, 0.000, 17.882, 0.012, 3.425
7.250, 0, Sedan, 13.711, 39.769, 0.000, 1.664, 0.000, 0.000, 17.882, 0.012, 5.980
7.300, 0, Sedan, 13.621, 40.658, 0.000, 1.667, 0.000, 0.000, 17.882, 0.012, 2.251
7.350, 0, Sedan, 13.527, 41.548, 0.000, 1.671, 0.000, 0.000, 17.882, 0.012, 4.806
7.400, 0, Sedan, 13.430, 42.436, 0.000, 1.674, 0.000, 0.000, 17.882, 0.012, 1.077
7.450, 0, Sedan, 13.330, 43.325, 0.000, 1.678, 0.000, 0.000, 17.882, 0.012, 3.631
7.500, 0, Sedan, 13.226, 44.213, 0.000, 1.681, 0.000, 0.000, 17.882, 0.012, 6.186
7.550, 0, Sedan, 13.120, 45.101, 0.000, 1.685, 0.000, 0.000, 17.882, 0.012, 2.457
7.600, 0, Sedan, 13.010, 45.988, 0.000, 1.688, 0.000, 0.000, 17.882, 0.012, 5.012
7.650, 0, Sedan, 12.897, 46.875, 0.000, 1.692, 0.000, 0.000, 17.882, 0.012, 1.283
7.700, 0, Sedan, 12.781, 47.761, 0.000, 1.696, 0.000, 0.000, 17.882, 0.012, 3.838
7.750, 0, Sedan, 12.662, 48.648, 0.000, 1.699, 0.000, 0.000, 17.882, 0.012, 0.109
7.800, 0, Sedan, 12.540, 49.533, 0.000, 1.703, 0.000, 0.000, 17.882, 0.012, 2.664
7.850, 0, Sedan, 12.414, 50.418, 0.000, 1.706, 0.000, 0.000, 17.882, 0.012, 5.218
7.900, 0, Sedan, 12.286, 51.303, 0.000, 1.710, 0.000, 0.000, 17.882, 0.012, 1.489
7.950, 0, Sedan, 12.154, 52.188, 0.000, 1.713, 0.000, 0.000, 17.882, 0.012, 4.044
8.000, 0, Sedan, 12.019, 53.071, 0.000, 1.717, 0.000, 0.000, 17.882, 0.012, 0.315
8.050, 0, Sedan, 11.881, 53.955, 0.000, 1.720, 0.000, 0.000, 17.882, 0.012, 2.870
8.100, 0, Sedan, 11.740, 54.838, 0.000, 1.724, 0.000, 0.000, 17.882, 0.012, 5.424
8.150, 0, Sedan, 11.596, 55.720, 0.000, 1.728, 0.000, 0.000, 17.882, 0.012, 1.696
8.200, 0, Sedan, 11.449, 56.602, 0.000, 1.731, 0.000, 0.000, 17.882, 0.012, 4.250
8.250, 0, Sedan, 11.298, 57.483, 0.000, 1.735, 0.000, 0.000, 17.882, 0.012, 0.521
8.300, 0, Sedan, 11.145, 58.364, 0.000, 1.738, 0.000, 0.000, 17.882, 0.012, 3.076
8.350, 0, Sedan, 10.988, 59.244, 0.000, 1.742, 0.000, 0.000, 17.882, 0.012, 5.630
8.400, 0, Sedan, 10.828, 60.124, 0.000, 1.745, 0.000, 0.000, 17.882, 0.012, 1.902
8.450, 0, Sedan, 10.665, 61.003, 0.000, 1.749, 0.000, 0.000, 17.882, 0.012, 4.456
8.500, 0, Sedan, 10.499, 61.882, 0.000, 1.752, 0.000, 0.000, 17.882, 0.012, 0.728
8.550, 0, Sedan, 10.330, 62.760, 0.000, 1.756, 0.000, 0.000, 17.882, 0.012, 3.282
8.600, 0, Sedan, 10.158, 63.637, 0.000, 1.759, 0.000, 0.000, 17.882, 0.012, 5.837
8.650, 0, Sedan, 9.982, 64.514, 0.000, 1.763, 0.000, 0.000, 17.882, 0.012, 2.108
8.700, 0, Sedan, 9.804, 65.390, 0.000, 1.767, 0.000, 0.000, 17.882, 0.012, 4.662
8.750, 0, Sedan, 9.622, 66.265, 0.000, 1.770, 0.000, 0.000, 17.882, 0.012, 0.934
8.800, 0, Sedan, 9.437, 67.140, 0.000, 1.774, 0.000, 0.000, 17.882, 0.012, 3.488
8.850, 0, Sedan, 9.250, 68.014, 0.000, 1.777, 0.000, 0.000, 17.882, 0.012, 6.043
8.900, 0, Sedan, 9.059, 68.887, 0.000, 1.781, 0.000, 0.000, 17.882, 0.012, 2.314
8.950, 0, Sedan, 8.865, 69.760, 0.000, 1.784, 0.000, 0.000, 17.882, 0.012, 4.869
9.000, 0, Sedan, 8.667, 70.632, 0.000, 1.788, 0.000, 0.000, 17.882, 0.012, 1.140
9.050, 0, Sedan, 8.467, 71.504, 0.000, 1.791, 0.000, 0.000, 17.882, 0.012, 3.695
9.100, 0, Sedan, 8.264, 72.374, 0.000, 1.795, 0.000, 0.000, 17.882, 0.012, 6.249
9.150, 0, Sedan, 8.057, 73.244, 0.000, 1.798, 0.000, 0.000, 17.882, 0.012, 2.520
9.200, 0, Sedan, 7.848, 74.113, 0.000, 1.802, 0.000, 0.000, 17.882, 0.012, 5.075
9.250, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.005, 1.346
9.300, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.901
9.350, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.172
9.400, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.727
9.450, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.281
9.500, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.552
9.550, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.107
9.600, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.378
9.650, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.933
9.700, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.487
9.750, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.759
9.800, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.313
9.850, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.584
9.900, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.139
9.950, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.694
10.000, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.965
10.050, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.519
10.100, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.791
10.150, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.345
10.200, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.900
10.250, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.171
10.300, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.726
10.350, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.997
10.400, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.551
10.450, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 6.106
10.500, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.377
10.550, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.932
10.600, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.203
10.650, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.758
10.700, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.029
10.750, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.583
10.800, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.138
10.850, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.409
10.900, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.964
10.950, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.235
11.000, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.790
11.050, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.344
11.100, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.615
11.150, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.170
11.200, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.441
11.250, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.996
11.300, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.550
11.350, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 1.822
11.400, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.376
11.450, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.648
11.500, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.202
11.550, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 5.757
11.600, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 2.028
11.650, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 4.582
11.700, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 0.854
11.750, 0, Sedan, 7.764, 74.457, 0.000, 1.803, 0.000, 0.000, 17.882, 0.000, 3.408
